Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744322911,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322912,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322913,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322914,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322915,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322916,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322917,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322918,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322919,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322920,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322921,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322922,1,,Aggregated,0.100000,0.100000,1700,1700,3600,3600,16000,16000,16000,16000,16000,16000,16000,6,2,930.0,3931.0109999999745,533.5221999994246,16285.375999999815,15651.5
1744322923,1,,Aggregated,0.000000,0.000000,1700,3600,14000,14000,16000,16000,16000,16000,16000,16000,16000,7,3,1700.0,5334.155357142923,533.5221999994246,16285.375999999815,13604.142857142857
1744322924,1,,Aggregated,0.000000,0.000000,1700,3600,14000,14000,16000,16000,16000,16000,16000,16000,16000,8,3,930.0,4744.97433750048,533.5221999994246,16285.375999999815,12191.875
1744322925,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,9,3,930.0,4286.4984333338925,533.5221999994246,16285.375999999815,11093.444444444445
1744322926,1,,Aggregated,0.000000,0.000000,930,1700,3600,14000,16000,16000,16000,16000,16000,16000,16000,10,3,650.0,3923.3285500005877,533.5221999994246,16285.375999999815,10214.7
