Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,17,3,480.0,2393.8266117646194,380.60440000117524,8406.536499998765,4817.058823529412,0.37333077769314826,0.0658819019458497,480,1100,1100,8000,8300,8400,8400,8400,8400,8400,8400
,Aggregated,17,3,480.0,2393.8266117646194,380.60440000117524,8406.536499998765,4817.058823529412,0.37333077769314826,0.0658819019458497,480,1100,1100,8000,8300,8400,8400,8400,8400,8400,8400
