epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,22153.5,0.52871,0.62187,0.40233,0.89606,0.97192,0.94957,0.97319,0.81178,0.96803,0.94594,0.9691,0.79181,0.51738,0.67902,0.36093,0.85292,0.00355001,0.00355001,0.00355001
31,22869.8,0.535,0.6191,0.41678,0.89744,0.95567,0.9543,0.96764,0.80026,0.96001,0.94899,0.96338,0.78614,0.55072,0.716,0.39079,0.88028,0.00350001,0.00350001,0.00350001
32,23588,0.53006,0.61574,0.41091,0.89632,0.97599,0.94642,0.97203,0.81156,0.97408,0.94055,0.96814,0.7934,0.52849,0.66968,0.36861,0.8584,0.00345002,0.00345002,0.00345002
33,24305.7,0.52006,0.60347,0.39697,0.89475,0.95659,0.94943,0.97308,0.80758,0.95257,0.94131,0.96637,0.79648,0.51125,0.67698,0.35523,0.85316,0.00340002,0.00340002,0.00340002
34,25021.9,0.52307,0.60557,0.39789,0.89268,0.97605,0.94369,0.96695,0.80083,0.97777,0.94081,0.96052,0.78784,0.53077,0.66469,0.36317,0.87064,0.00335002,0.00335002,0.00335002
35,25734.9,0.52251,0.60117,0.39589,0.89347,0.97548,0.9439,0.9751,0.81551,0.97645,0.9448,0.97287,0.79951,0.50496,0.67334,0.34972,0.84897,0.00330002,0.00330002,0.00330002
36,26471.9,0.51877,0.59415,0.39534,0.89136,0.96366,0.95527,0.96916,0.81743,0.96271,0.95437,0.96902,0.80369,0.51448,0.68072,0.35135,0.85634,0.00325002,0.00325002,0.00325002
37,27204,0.50998,0.59583,0.38562,0.89066,0.96226,0.94866,0.97021,0.82161,0.96314,0.94676,0.96785,0.79426,0.5081,0.65018,0.35304,0.85409,0.00320002,0.00320002,0.00320002
38,27909,0.51152,0.59446,0.38383,0.88961,0.96679,0.94776,0.97673,0.81869,0.96762,0.94504,0.97237,0.79315,0.51205,0.69171,0.34194,0.86526,0.00315002,0.00315002,0.00315002
39,28552,0.51352,0.59243,0.38883,0.89157,0.96731,0.95115,0.97692,0.81561,0.96372,0.94752,0.97054,0.79465,0.49724,0.68826,0.34023,0.84591,0.00310002,0.00310002,0.00310002
40,29191.7,0.50894,0.5848,0.38246,0.88787,0.97586,0.94799,0.97501,0.82252,0.97606,0.94799,0.97209,0.80472,0.49794,0.66657,0.33233,0.85285,0.00305002,0.00305002,0.00305002
41,29848.4,0.50833,0.58572,0.38217,0.8883,0.97064,0.95228,0.97804,0.81779,0.97452,0.95047,0.97398,0.80092,0.50957,0.62666,0.33115,0.85122,0.00300002,0.00300002,0.00300002
42,30489.9,0.50597,0.58167,0.38065,0.88804,0.95607,0.95658,0.97223,0.81526,0.95951,0.95228,0.96881,0.79996,0.50917,0.64028,0.33626,0.85275,0.00295002,0.00295002,0.00295002
43,31135.4,0.50065,0.57711,0.37474,0.88593,0.9643,0.95194,0.97726,0.81759,0.9624,0.95013,0.97627,0.80156,0.50548,0.62806,0.32555,0.84831,0.00290002,0.00290002,0.00290002
44,31783.2,0.49914,0.57671,0.36943,0.88441,0.96338,0.96471,0.97484,0.81644,0.96074,0.95909,0.9694,0.79617,0.50513,0.63211,0.32738,0.84862,0.00285002,0.00285002,0.00285002
45,32435.6,0.50389,0.58575,0.3787,0.88634,0.96005,0.95296,0.96552,0.81614,0.95911,0.95205,0.96393,0.79283,0.50591,0.6294,0.3365,0.84722,0.00280002,0.00280002,0.00280002
46,33081.7,0.49439,0.58383,0.37215,0.88564,0.96658,0.95772,0.97909,0.82313,0.96331,0.95319,0.97312,0.80106,0.4924,0.63827,0.32281,0.84422,0.00275002,0.00275002,0.00275002
47,33729.5,0.49803,0.57732,0.37074,0.88471,0.96459,0.94893,0.97456,0.82373,0.96465,0.94795,0.97253,0.80093,0.49112,0.62788,0.32727,0.84353,0.00270002,0.00270002,0.00270002
48,34377,0.48612,0.56918,0.36081,0.88316,0.97358,0.95758,0.97812,0.8261,0.97393,0.95087,0.97344,0.80299,0.48838,0.6309,0.30942,0.84634,0.00265002,0.00265002,0.00265002
