epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9283,1.0632,1.32429,1.53647,1.1807,0.00012,0.01344,6e-05,2e-05,0,0,0,0,4.03902,nan,inf,245.948,0.0703409,0.00329545,0.00329545
2,87.3157,1.11043,1.16501,1.09081,1.18476,0.16873,0.2313,0.11111,0.03752,0.19705,0.28366,0.13942,0.05558,2.41787,3.8964,22.8409,3.52657,0.0402746,0.0065625,0.0065625
3,124.767,1.08749,1.16146,1.02689,1.17091,0.38487,0.46903,0.37798,0.18422,0.40947,0.46564,0.37247,0.19273,1.96939,3.86092,3.90422,2.12128,0.0101417,0.00976288,0.00976288
4,162.189,0.9928,1.07562,0.90433,1.11613,0.74799,0.63717,0.70215,0.39818,0.77014,0.62745,0.70202,0.43363,1.35616,1.66508,2.27747,1.47918,0.0097,0.0097,0.0097
5,199.834,0.92637,0.99592,0.81736,1.07619,0.66742,0.30049,0.31216,0.16125,0.66931,0.31136,0.32113,0.17688,1.47202,4.12865,3.64504,1.61373,0.0096,0.0096,0.0096
6,236.453,0.8996,0.98028,0.79329,1.0584,0.66192,0.78132,0.79525,0.56512,0.67041,0.77151,0.78157,0.53251,0.87417,1.67211,1.30942,1.06672,0.0095,0.0095,0.0095
7,274.805,0.83902,0.90427,0.74,1.03717,0.66341,0.8269,0.82622,0.59104,0.66341,0.8269,0.8211,0.64745,0.83927,0.98322,0.99332,1.06624,0.00940001,0.00940001,0.00940001
8,310.879,0.82928,0.88453,0.72233,1.02639,0.7466,0.79673,0.84909,0.59317,0.74905,0.79691,0.84634,0.59404,0.829,1.30018,1.10632,1.04202,0.00930001,0.00930001,0.00930001
9,350.572,0.81889,0.89057,0.69586,1.01522,0.81492,0.82717,0.87422,0.62373,0.82133,0.83381,0.87658,0.6468,0.84736,0.94499,0.86463,1.08034,0.00920001,0.00920001,0.00920001
10,388.062,0.79736,0.86106,0.67398,1.01976,0.77384,0.85136,0.90214,0.66291,0.77384,0.85136,0.90031,0.68177,0.78699,0.84917,1.23809,1.01024,0.00910001,0.00910001,0.00910001
11,425.906,0.76524,0.85124,0.6492,1.00122,0.92356,0.88412,0.93149,0.69167,0.91826,0.88067,0.9259,0.71033,0.72311,0.84733,0.79959,0.96786,0.00900001,0.00900001,0.00900001
12,462.3,0.77116,0.82797,0.64791,1.00005,0.85077,0.86173,0.92484,0.68593,0.87106,0.81942,0.91729,0.69473,0.74742,0.82534,0.6792,1.00874,0.00890001,0.00890001,0.00890001
13,501.087,0.76268,0.8163,0.63494,0.98448,0.71541,0.84198,0.87526,0.62769,0.71076,0.83567,0.86696,0.66044,0.8239,0.91435,1.06467,1.04681,0.00880001,0.00880001,0.00880001
14,537.473,0.73348,0.80908,0.6102,0.97423,0.89136,0.84993,0.9236,0.68424,0.89072,0.84631,0.9258,0.72286,0.7435,0.84391,0.81313,0.98804,0.00870001,0.00870001,0.00870001
15,573.979,0.74608,0.82286,0.62218,0.98259,0.81438,0.84642,0.88935,0.61727,0.82599,0.85367,0.89683,0.67343,0.8354,0.87984,0.7645,1.07355,0.00860001,0.00860001,0.00860001
16,612.005,0.72254,0.81555,0.60843,0.97594,0.8688,0.87193,0.92232,0.71087,0.86882,0.87119,0.91999,0.73283,0.70761,0.86463,0.89133,0.95895,0.00850001,0.00850001,0.00850001
17,649.06,0.70453,0.7541,0.58713,0.97072,0.90437,0.88254,0.9253,0.7213,0.9093,0.87402,0.92456,0.72604,0.6663,0.78486,0.58795,0.93432,0.00840002,0.00840002,0.00840002
18,685.772,0.70492,0.79167,0.58287,0.9685,0.88135,0.85192,0.92126,0.7017,0.86138,0.86793,0.92305,0.71595,0.70761,0.82114,0.73969,0.96603,0.00830002,0.00830002,0.00830002
19,723.934,0.68347,0.74884,0.56432,0.95899,0.93536,0.91465,0.94827,0.72081,0.93788,0.90303,0.94758,0.75215,0.65963,0.75419,0.5598,0.9347,0.00820002,0.00820002,0.00820002
20,760.203,0.68087,0.77358,0.54962,0.95396,0.87236,0.85541,0.9275,0.71722,0.86191,0.8555,0.92222,0.72003,0.6772,0.81968,1.1743,0.93983,0.00810002,0.00810002,0.00810002
21,796.136,0.68315,0.75645,0.56136,0.95915,0.9178,0.90756,0.95372,0.73927,0.91426,0.90347,0.94977,0.73584,0.64676,0.80608,0.69336,0.93465,0.00800002,0.00800002,0.00800002
22,831.972,0.67393,0.7332,0.54322,0.94952,0.85596,0.93388,0.92737,0.72652,0.85905,0.91854,0.91447,0.73217,0.67363,0.73855,0.53002,0.94453,0.00790002,0.00790002,0.00790002
23,867.844,0.66743,0.76355,0.54495,0.95157,0.91193,0.89774,0.93983,0.73373,0.91781,0.8996,0.93851,0.72684,0.6198,0.7538,0.54794,0.92833,0.00780002,0.00780002,0.00780002
24,904.916,0.64978,0.74504,0.53261,0.94161,0.91512,0.89785,0.94051,0.70073,0.9112,0.89357,0.93801,0.70569,0.68063,0.79896,0.59799,0.93563,0.00770002,0.00770002,0.00770002
25,940.818,0.64164,0.70261,0.51353,0.93915,0.91874,0.92228,0.95528,0.75214,0.91475,0.91865,0.95122,0.76097,0.63986,0.74256,0.49561,0.93101,0.00760002,0.00760002,0.00760002
