epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.0126,0.88084,1.09948,1.31578,1.06222,0.42437,0.65181,0.49079,0.25343,0.45671,0.67648,0.50451,0.31386,1.44684,2.20138,2.64605,1.62722,0.0686136,0.00165192,0.00165192
2,167.598,0.95241,1.01731,0.95,1.08065,0.58494,0.66071,0.60625,0.32968,0.58114,0.66158,0.60636,0.36716,1.49291,2.65413,2.42066,1.72841,0.0369137,0.0032854,0.0032854
3,252.041,0.88917,0.94869,0.85122,1.05197,0.65561,0.73247,0.77753,0.50906,0.6552,0.73622,0.7825,0.57538,1.00054,1.21093,1.75188,1.21283,0.00518053,0.00488555,0.00488555
4,334.814,0.85184,0.89535,0.77924,1.03339,0.77154,0.6827,0.75721,0.50046,0.75159,0.65797,0.73044,0.44357,1.05991,2.13066,1.56254,1.16223,0.00485,0.00485,0.00485
5,417.765,0.81541,0.8674,0.73031,1.01576,0.69259,0.76695,0.82293,0.58233,0.69901,0.77326,0.82174,0.61143,0.83283,1.21903,1.30676,1.09339,0.0048,0.0048,0.0048
6,501.59,0.7818,0.86103,0.70815,1.00083,0.88731,0.71458,0.79917,0.58029,0.892,0.7182,0.79933,0.59757,0.84011,1.25926,1.15143,1.04479,0.00475,0.00475,0.00475
7,584.681,0.76732,0.83869,0.67506,0.99324,0.85824,0.84847,0.90836,0.66594,0.85456,0.84993,0.90382,0.68581,0.77047,1.01444,0.77385,1.00895,0.0047,0.0047,0.0047
8,667.535,0.74472,0.82703,0.65216,0.98566,0.92723,0.83133,0.92143,0.67041,0.92453,0.82468,0.91127,0.69389,0.74505,0.89281,0.72053,0.98194,0.00465,0.00465,0.00465
9,750.839,0.72835,0.81063,0.63657,0.98188,0.76462,0.85365,0.86952,0.65054,0.77133,0.84935,0.86493,0.67866,0.76503,0.87177,0.96748,1.01168,0.0046,0.0046,0.0046
10,833.187,0.72087,0.76663,0.61447,0.96138,0.89988,0.89831,0.94038,0.71025,0.9082,0.89452,0.93644,0.70733,0.70146,0.85954,0.58453,0.95245,0.00455,0.00455,0.00455
11,918.964,0.70038,0.76092,0.59566,0.96315,0.91547,0.87354,0.92223,0.71383,0.91547,0.87354,0.91515,0.7185,0.72166,0.77893,0.63037,0.97528,0.00450001,0.00450001,0.00450001
12,1004.4,0.68475,0.76274,0.57594,0.95563,0.93499,0.87443,0.92716,0.7249,0.93093,0.87081,0.92545,0.75594,0.63844,0.75962,0.52143,0.92306,0.00445001,0.00445001,0.00445001
