epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.495,1.76373,2.21241,2.30754,1.75104,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0835227,0.0164773,0.0164773
2,87.9164,1.58135,1.78653,1.68316,1.61622,0.02013,0.2036,0.01687,0.00449,0.02059,0.20734,0.01556,0.00516,3.39169,4.41982,116.515,5.54099,0.0665246,0.0328125,0.0328125
3,124.524,1.47927,1.64052,1.47123,1.5129,0.08136,0.11138,0.03535,0.00965,0.08645,0.11501,0.04385,0.01509,nan,nan,nan,nan,0.0491932,0.0488144,0.0488144
4,161.682,1.39269,1.60662,1.39757,1.45308,0.13612,0.19404,0.10418,0.04145,0.13682,0.19647,0.11966,0.05098,3.27554,4.9471,14.7407,8.61602,0.0485,0.0485,0.0485
5,198.831,1.29391,1.42952,1.25361,1.36105,0.35895,0.39201,0.29044,0.13769,0.37304,0.37027,0.29378,0.15374,2.23806,2.09827,4.04975,2.98004,0.048,0.048,0.048
6,234.553,1.22611,1.34691,1.13909,1.31611,0.67895,0.36596,0.44439,0.2531,0.71529,0.36594,0.44524,0.27213,1.68353,1.94881,3.18445,1.8917,0.0475,0.0475,0.0475
7,271.66,1.1646,1.27667,1.09106,1.28085,0.61588,0.56124,0.61114,0.37316,0.64227,0.61043,0.65043,0.41071,1.29322,1.33689,1.99757,1.43731,0.047,0.047,0.047
8,308.943,1.15541,1.23032,1.05328,1.25632,0.59138,0.60276,0.60681,0.3615,0.57459,0.56949,0.57784,0.25997,1.26667,3.04582,1.55853,1.4183,0.0465,0.0465,0.0465
9,348.047,1.09117,1.21693,1.00118,1.21211,0.5693,0.65416,0.66293,0.43013,0.58734,0.67952,0.67353,0.4689,1.16371,1.43286,1.57009,1.36877,0.046,0.046,0.046
10,387.73,1.06508,1.17635,0.97464,1.21926,0.55835,0.6504,0.65733,0.43788,0.56897,0.65911,0.66815,0.47173,1.10962,1.47911,1.36428,1.35285,0.0455,0.0455,0.0455
11,424.538,1.04455,1.18349,0.93689,1.2106,0.695,0.75107,0.78704,0.51483,0.69486,0.76459,0.78654,0.56167,1.02052,1.19926,1.32661,1.27076,0.0450001,0.0450001,0.0450001
12,461.586,1.07299,1.14436,0.97213,1.20899,0.55578,0.3345,0.36426,0.15964,0.54113,0.36434,0.36597,0.16917,2.55313,2.10063,3.16111,3.59754,0.0445001,0.0445001,0.0445001
13,500.049,1.08374,1.15768,0.96328,1.20197,0.6302,0.71492,0.74554,0.49457,0.63583,0.70776,0.75595,0.53734,1.0548,1.27009,1.22024,1.25252,0.0440001,0.0440001,0.0440001
14,537.028,1.01512,1.11528,0.90406,1.17091,0.78696,0.73273,0.77902,0.51762,0.81248,0.73539,0.78856,0.58382,1.11872,1.16328,1.40863,1.31974,0.0435001,0.0435001,0.0435001
15,573.885,0.99369,1.08381,0.85888,1.17157,0.74172,0.72885,0.78037,0.51638,0.73991,0.72885,0.78296,0.54044,1.06474,1.37218,1.40642,1.31162,0.0430001,0.0430001,0.0430001
16,611.787,0.98846,1.09599,0.8547,1.1595,0.7985,0.77513,0.81236,0.54605,0.80349,0.77969,0.81963,0.60954,0.98682,1.20265,1.02913,1.22498,0.0425001,0.0425001,0.0425001
17,649.741,0.97107,1.08456,0.85113,1.15396,0.71562,0.74416,0.78962,0.54611,0.72441,0.7514,0.79892,0.58996,0.94107,1.13798,0.98558,1.21685,0.0420001,0.0420001,0.0420001
18,685.757,0.98922,1.09452,0.86734,1.15447,0.82813,0.80039,0.8707,0.59502,0.83093,0.81413,0.87365,0.65362,0.9152,1.07475,0.94931,1.17856,0.0415001,0.0415001,0.0415001
19,723.801,0.94335,1.02799,0.82116,1.12665,0.54664,0.48829,0.46647,0.22137,0.58053,0.51592,0.50516,0.27678,2.2096,1.34645,2.82343,13.0496,0.0410001,0.0410001,0.0410001
20,761.197,0.94007,1.06657,0.81309,1.1318,0.69396,0.75907,0.79291,0.55638,0.69448,0.77758,0.80023,0.57713,0.93515,1.10488,1.2978,1.18495,0.0405001,0.0405001,0.0405001
21,797.662,0.95955,1.04297,0.83814,1.14521,0.75986,0.58216,0.6537,0.43905,0.77937,0.60051,0.66825,0.48566,1.16351,1.61768,1.42022,1.54711,0.0400001,0.0400001,0.0400001
22,834.644,0.92909,1.01086,0.7923,1.12336,0.66356,0.77034,0.67582,0.48714,0.66086,0.77127,0.67445,0.52503,0.92683,1.06943,1.61651,1.18456,0.0395001,0.0395001,0.0395001
23,870.529,0.9153,0.99921,0.76772,1.12106,0.86218,0.78137,0.84844,0.58154,0.88448,0.74301,0.84392,0.61802,0.93392,1.04278,0.89698,1.17814,0.0390001,0.0390001,0.0390001
24,907.007,0.90226,1.00067,0.77634,1.11801,0.81018,0.8338,0.86984,0.62634,0.86679,0.78547,0.87696,0.66784,0.8887,0.96904,1.11191,1.14469,0.0385001,0.0385001,0.0385001
25,943.498,0.8836,0.96611,0.76534,1.09875,0.7171,0.79842,0.84813,0.60306,0.7171,0.79842,0.84735,0.6468,0.87021,1.01063,1.1024,1.17082,0.0380001,0.0380001,0.0380001
26,979.138,0.93005,1.00239,0.80596,1.11929,0.90377,0.77384,0.85325,0.58095,0.90309,0.76828,0.84999,0.61589,0.96835,1.39054,1.08252,1.17843,0.0375001,0.0375001,0.0375001
27,1015.01,0.88329,0.97901,0.74432,1.09495,0.8971,0.75992,0.86678,0.59678,0.82419,0.80929,0.85772,0.64486,0.95712,0.97842,0.83504,1.19147,0.0370001,0.0370001,0.0370001
28,1051.42,0.88276,0.95105,0.74513,1.1013,0.59808,0.45091,0.47315,0.21231,0.59785,0.45266,0.46561,0.24337,2.26547,1.1191,2.26018,4.29514,0.0365001,0.0365001,0.0365001
29,1087.49,0.87624,0.98894,0.72498,1.094,0.85193,0.77231,0.85805,0.62228,0.84407,0.77127,0.84979,0.64015,0.85114,1.04727,0.93796,1.25955,0.0360001,0.0360001,0.0360001
30,1122.45,0.86802,0.96588,0.73291,1.09392,0.85986,0.85718,0.89372,0.64652,0.86807,0.86442,0.89825,0.68953,0.81761,0.97185,0.92825,1.09538,0.0355001,0.0355001,0.0355001
31,1159.1,0.85053,0.96232,0.70881,1.07385,0.79146,0.86008,0.89866,0.60044,0.77602,0.85326,0.88667,0.6716,0.90477,0.98671,0.92198,1.13188,0.0350002,0.0350002,0.0350002
32,1196.04,0.85982,0.94315,0.72478,1.09065,0.7785,0.82013,0.86139,0.61075,0.78311,0.82375,0.86352,0.65415,0.93773,0.93342,0.88104,1.20487,0.0345002,0.0345002,0.0345002
33,1233.53,0.84179,0.94079,0.699,1.0735,0.80156,0.84905,0.88621,0.6418,0.80156,0.84905,0.88544,0.67677,0.84145,0.95299,0.81168,1.10202,0.0340002,0.0340002,0.0340002
34,1269.49,0.83407,0.89436,0.70261,1.07869,0.84939,0.81882,0.89477,0.64964,0.84939,0.81882,0.89014,0.67306,0.81643,0.96148,1.08097,1.10739,0.0335002,0.0335002,0.0335002
35,1305.65,0.81898,0.91487,0.68205,1.06286,0.88668,0.76337,0.85366,0.57815,0.87593,0.7525,0.84421,0.61205,0.92555,0.99441,1.16665,1.16914,0.0330002,0.0330002,0.0330002
