epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1885.77,0.58153,0.66803,0.46113,0.91622,0.87339,0.92378,0.94676,0.77021,0.87802,0.93358,0.95166,0.77381,0.5948,0.66907,0.52037,0.89282,0.00355001,0.00355001,0.00355001
31,1912.65,0.58207,0.66513,0.45418,0.912,0.95364,0.91034,0.95916,0.76832,0.95308,0.91599,0.96421,0.77593,0.60416,0.69312,0.45943,0.89996,0.00350001,0.00350001,0.00350001
32,1937.5,0.58309,0.67106,0.45138,0.92155,0.90243,0.91333,0.94978,0.7612,0.89428,0.9078,0.94097,0.76048,0.62444,0.72479,0.54916,0.91059,0.00345002,0.00345002,0.00345002
33,1962.2,0.57472,0.67167,0.45588,0.91038,0.96712,0.91979,0.95786,0.76166,0.96712,0.91979,0.95549,0.74146,0.61291,0.7267,0.47074,0.90787,0.00340002,0.00340002,0.00340002
34,1983.79,0.57253,0.65291,0.44686,0.91504,0.95568,0.92228,0.95926,0.76608,0.95568,0.92228,0.95279,0.76787,0.60736,0.7143,0.50104,0.91319,0.00335002,0.00335002,0.00335002
35,2006.98,0.56155,0.63944,0.44062,0.90636,0.93381,0.94381,0.97472,0.77341,0.93381,0.94381,0.97322,0.77456,0.57104,0.70609,0.44142,0.8892,0.00330002,0.00330002,0.00330002
36,2031.27,0.56748,0.63732,0.44754,0.90969,0.9284,0.9361,0.94922,0.76766,0.92904,0.93958,0.95019,0.77038,0.59823,0.70406,0.52836,0.89468,0.00325002,0.00325002,0.00325002
37,2052.87,0.56448,0.62766,0.43284,0.90405,0.9326,0.91762,0.94871,0.79329,0.9405,0.92477,0.9507,0.77307,0.5228,0.73498,0.45788,0.87425,0.00320002,0.00320002,0.00320002
38,2073.11,0.54749,0.62344,0.42408,0.90286,0.94052,0.93949,0.96561,0.78373,0.94052,0.93949,0.96542,0.78719,0.56242,0.69376,0.44237,0.87472,0.00315002,0.00315002,0.00315002
39,2093.29,0.55343,0.61825,0.42373,0.90168,0.9319,0.94355,0.96004,0.79744,0.93206,0.94269,0.95847,0.78874,0.51445,0.66228,0.42435,0.85864,0.00310002,0.00310002,0.00310002
40,2113.93,0.54553,0.64701,0.41745,0.89956,0.96797,0.92683,0.96479,0.78229,0.96797,0.92683,0.96048,0.78002,0.53856,0.68728,0.42662,0.87315,0.00305002,0.00305002,0.00305002
41,2133.81,0.5548,0.62355,0.41862,0.89917,0.91303,0.94577,0.96911,0.79446,0.9155,0.93642,0.95994,0.77781,0.54264,0.6645,0.49994,0.88188,0.00300002,0.00300002,0.00300002
42,2154.87,0.54941,0.62081,0.42706,0.90655,0.95794,0.93315,0.94927,0.76951,0.95794,0.93315,0.9473,0.77209,0.57523,0.69551,0.46574,0.89327,0.00295002,0.00295002,0.00295002
43,2175.8,0.54177,0.60946,0.4145,0.90019,0.94493,0.93303,0.96427,0.7869,0.94094,0.92941,0.95863,0.77288,0.54223,0.67882,0.50088,0.87873,0.00290002,0.00290002,0.00290002
44,2196.96,0.54343,0.61536,0.41771,0.89975,0.95956,0.93408,0.96747,0.80208,0.95956,0.93408,0.96491,0.79006,0.53433,0.67518,0.39776,0.86297,0.00285002,0.00285002,0.00285002
45,2217.48,0.53989,0.62422,0.41968,0.90292,0.94121,0.9341,0.96238,0.7867,0.94499,0.93773,0.9647,0.76835,0.53529,0.68744,0.43473,0.87407,0.00280002,0.00280002,0.00280002
46,2238.22,0.54876,0.63951,0.41999,0.89647,0.93628,0.93759,0.96299,0.77819,0.93628,0.93759,0.96032,0.76772,0.56782,0.69567,0.45927,0.86965,0.00275002,0.00275002,0.00275002
47,2258.87,0.53972,0.59946,0.4171,0.89635,0.93084,0.95261,0.9653,0.79785,0.93084,0.95261,0.9646,0.77498,0.54135,0.66029,0.39888,0.87298,0.00270002,0.00270002,0.00270002
48,2278.84,0.52817,0.6261,0.40194,0.8975,0.95135,0.9557,0.96596,0.78174,0.95135,0.9557,0.96334,0.75485,0.58262,0.66224,0.40249,0.88625,0.00265002,0.00265002,0.00265002
49,2300,0.52392,0.61049,0.39958,0.89113,0.97691,0.9577,0.9738,0.79546,0.97691,0.9577,0.9738,0.7782,0.54227,0.6617,0.3772,0.88405,0.00260002,0.00260002,0.00260002
50,2321.94,0.52396,0.57881,0.40481,0.8973,0.97524,0.94939,0.97065,0.81217,0.97524,0.94939,0.96959,0.78977,0.53163,0.67115,0.36137,0.86736,0.00255002,0.00255002,0.00255002
